DATE,VALUE
1991-01-01,-10.11
1991-04-01,-1.21
1991-07-01,0.88
1991-10-01,0.13
1992-01-01,-2.88
1992-04-01,2.32
1992-07-01,0.45
1992-10-01,-1.19
1993-01-01,-0.65
1993-04-01,-0.09
1993-07-01,-1.93
1993-10-01,-1.38
1994-01-01,-1.60
1994-04-01,3.00
1994-07-01,0.64
1994-10-01,-0.83
1995-01-01,0.74
1995-04-01,0.96
1995-07-01,-1.47
1995-10-01,0.26
1996-01-01,1.63
1996-04-01,1.95
1996-07-01,0.63
1996-10-01,2.29
1997-01-01,-1.78
1997-04-01,-2.93
1997-07-01,-0.12
1997-10-01,0.16
1998-01-01,-4.02
1998-04-01,-1.30
1998-07-01,-0.42
1998-10-01,-1.29
1999-01-01,0.24
1999-04-01,4.48
1999-07-01,4.07
1999-10-01,2.88
2000-01-01,4.30
2000-04-01,0.02
2000-07-01,2.71
2000-10-01,0.43
2001-01-01,-3.30
2001-04-01,-0.84
2001-07-01,-1.22
2001-10-01,-6.20
2002-01-01,1.14
2002-04-01,4.63
2002-07-01,2.05
2002-10-01,-0.02
2003-01-01,5.74
2003-04-01,-5.06
2003-07-01,1.24
2003-10-01,0.95
2004-01-01,4.17
2004-04-01,2.98
2004-07-01,5.57
2004-10-01,4.41
2005-01-01,1.60
2005-04-01,3.21
2005-07-01,10.20
2005-10-01,-3.28
2006-01-01,3.24
2006-04-01,7.19
2006-07-01,0.02
2006-10-01,-10.54
2007-01-01,-1.86
2007-04-01,6.89
2007-07-01,10.25
2007-10-01,15.36
2008-01-01,7.28
2008-04-01,25.92
2008-07-01,-5.49
2008-10-01,-59.61
2009-01-01,-15.54
2009-04-01,16.47
2009-07-01,8.53
2009-10-01,7.86
2010-01-01,2.81
2010-04-01,-0.99
2010-07-01,-1.76
2010-10-01,9.10
2011-01-01,8.91
2011-04-01,7.95
2011-07-01,-12.53
2011-10-01,4.53
2012-01-01,8.96
2012-04-01,-9.69
2012-07-01,-1.12
2012-10-01,-4.16
2013-01-01,6.32
2013-04-01,-0.28
2013-07-01,11.78
2013-10-01,-8.33
2014-01-01,1.18
2014-04-01,4.67
2014-07-01,-5.48
2014-10-01,-24.66
2015-01-01,-24.72
2015-04-01,9.36
2015-07-01,-11.36
2015-10-01,-4.55
2016-01-01,-8.59
2016-04-01,.
