"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","units",,,-0.162007461542391,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","units",,,0.481180222469073,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","units",,,0.106982928581248,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","units",,,0.147071545981489,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","units",,,0.294219277206395,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","units",,,-0.140851492873821,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","units",,,0.846300984814274,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","units",,,0.38136254094112,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","units",,,-1.23045925450709,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","units",,,0.727174927942196,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","units",,,0.0463483075310948,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","units",,,0.574553474764468,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","units",,,-0.156210884694339,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","units",,,0.97684261200093,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","units",,,0.468798108916104,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","units",,,0.263951361771528,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","units",,,0.386503914338115,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","units",,,1.79395760897322,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","units",,,-0.958602090881456,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","units",,,0.108137597786591,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","units",,,1.7789369197532,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","units",,,-0.33417474614193,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","units",,,1.37907546780639,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","units",,,-1.27656755682571,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","units",,,-0.0896237718667579,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1997-Q2","Q2-1997","PC","Percentage","0","units",,,0.459074272172992,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1997-Q3","Q3-1997","PC","Percentage","0","units",,,0.757329767930482,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1997-Q4","Q4-1997","PC","Percentage","0","units",,,1.17579594893036,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1998-Q1","Q1-1998","PC","Percentage","0","units",,,0.890920758641048,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1998-Q2","Q2-1998","PC","Percentage","0","units",,,1.44668483534442,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1998-Q3","Q3-1998","PC","Percentage","0","units",,,0.904327132102243,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1998-Q4","Q4-1998","PC","Percentage","0","units",,,0.749270912232794,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1999-Q1","Q1-1999","PC","Percentage","0","units",,,0.303421823862281,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1999-Q2","Q2-1999","PC","Percentage","0","units",,,0.821787466282487,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1999-Q3","Q3-1999","PC","Percentage","0","units",,,1.75259751244224,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","1999-Q4","Q4-1999","PC","Percentage","0","units",,,1.00317182544022,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2000-Q1","Q1-2000","PC","Percentage","0","units",,,1.13051613909247,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2000-Q2","Q2-2000","PC","Percentage","0","units",,,0.758529711578825,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2000-Q3","Q3-2000","PC","Percentage","0","units",,,0.212540754689709,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2000-Q4","Q4-2000","PC","Percentage","0","units",,,0.529376582721461,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2001-Q1","Q1-2001","PC","Percentage","0","units",,,0.851065625303266,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2001-Q2","Q2-2001","PC","Percentage","0","units",,,0.802881839557525,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2001-Q3","Q3-2001","PC","Percentage","0","units",,,0.610543180054201,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2001-Q4","Q4-2001","PC","Percentage","0","units",,,0.0833319582185116,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2002-Q1","Q1-2002","PC","Percentage","0","units",,,0.445166236614099,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2002-Q2","Q2-2002","PC","Percentage","0","units",,,0.693925789745819,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2002-Q3","Q3-2002","PC","Percentage","0","units",,,0.821592895829688,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2002-Q4","Q4-2002","PC","Percentage","0","units",,,0.258697699611544,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2003-Q1","Q1-2003","PC","Percentage","0","units",,,0.126999229941177,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2003-Q2","Q2-2003","PC","Percentage","0","units",,,0.099859874047707,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2003-Q3","Q3-2003","PC","Percentage","0","units",,,0.940884004569664,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2003-Q4","Q4-2003","PC","Percentage","0","units",,,0.25145954131548,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","FRA","France","GP","Growth previous period","Q","Quarterly","2004-Q1","Q1-2004","PC","Percentage","0","units",,,0.366504217581073,,
