"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","units",,,9.26666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","units",,,9.43333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","units",,,9.7,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","units",,,10,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","units",,,10.2666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","units",,,10.5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","units",,,10.8,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","units",,,11,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","units",,,11.3,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","units",,,11.7,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","units",,,12.0333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","units",,,12.3666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","units",,,12.5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","units",,,12.4,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","units",,,12.2,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","units",,,12,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","units",,,11.8,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","units",,,11.8666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","units",,,12,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","units",,,12.1666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","units",,,12.3,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","units",,,12.3666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","units",,,12.4333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","units",,,12.5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","units",,,12.5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1997-Q2","Q2-1997","PC","Percentage","0","units",,,12.4,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1997-Q3","Q3-1997","PC","Percentage","0","units",,,12.3333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1997-Q4","Q4-1997","PC","Percentage","0","units",,,12.1666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1998-Q1","Q1-1998","PC","Percentage","0","units",,,12.0333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1998-Q2","Q2-1998","PC","Percentage","0","units",,,12.0666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1998-Q3","Q3-1998","PC","Percentage","0","units",,,12.1,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1998-Q4","Q4-1998","PC","Percentage","0","units",,,12,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1999-Q1","Q1-1999","PC","Percentage","0","units",,,11.9333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1999-Q2","Q2-1999","PC","Percentage","0","units",,,11.5333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","Q","Quarterly","1999-Q3","Q3-1999","PC","Percentage","0","units",,,11.1333333333333,,
