Data Source in SDW: http://sdw.ecb.europa.eu/browse.do?node=bbn131
,FM.B.U2.EUR.4F.KR.MRR.CHG
,"Euro area (changing composition) - Key interest rate - ECB Main refinancing operations - irrespective of which type of rate fixed or variable (date of changes) - Change in percentage points compared to previous rate - Euro, provided by ECB"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
2016-03-16,-0.0500
2014-09-10,-0.1000
2014-06-11,-0.1000
2013-11-13,-0.2500
2013-05-08,-0.2500
2012-07-11,-0.2500
2011-12-14,-0.2500
2011-11-09,-0.2500
2011-07-13,0.2500
2011-04-13,0.2500
2009-05-13,-0.2500
2009-04-08,-0.2500
2009-03-11,-0.5000
2009-01-21,-0.5000
2008-12-10,-0.7500
2008-11-12,-0.5000
2008-10-15,-0.5000
2008-07-09,0.2500
2007-06-13,0.2500
2007-03-14,0.2500
2006-12-13,0.2500
2006-10-11,0.2500
2006-08-09,0.2500
2006-06-15,0.2500
2006-03-08,0.2500
2005-12-06,0.2500
2003-06-06,-0.5000
2003-03-07,-0.2500
2002-12-06,-0.5000
2001-11-09,-0.5000
2001-09-18,-0.5000
2001-08-31,-0.2500
2001-05-11,-0.2500
2000-10-06,0.2500
2000-09-01,0.2500
2000-06-09,0.5000
2000-04-28,0.2500
2000-03-17,0.2500
2000-02-04,0.2500
1999-11-05,0.5000
1999-04-09,-0.5000
