"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","UNEMP","TOT","PC_LF","Q","2003-Q1",7.93877,
"FRA","UNEMP","TOT","PC_LF","Q","2003-Q2",8.009875,
"FRA","UNEMP","TOT","PC_LF","Q","2003-Q3",7.959571,
"FRA","UNEMP","TOT","PC_LF","Q","2003-Q4",8.477512,
"FRA","UNEMP","TOT","PC_LF","Q","2004-Q1",8.520176,
"FRA","UNEMP","TOT","PC_LF","Q","2004-Q2",8.301762,
"FRA","UNEMP","TOT","PC_LF","Q","2004-Q3",8.425701,
"FRA","UNEMP","TOT","PC_LF","Q","2004-Q4",8.614961,
"FRA","UNEMP","TOT","PC_LF","Q","2005-Q1",8.262697,
"FRA","UNEMP","TOT","PC_LF","Q","2005-Q2",8.374014,
"FRA","UNEMP","TOT","PC_LF","Q","2005-Q3",8.58483,
"FRA","UNEMP","TOT","PC_LF","Q","2005-Q4",8.755329,
"FRA","UNEMP","TOT","PC_LF","Q","2006-Q1",8.728034,
"FRA","UNEMP","TOT","PC_LF","Q","2006-Q2",8.506309,
"FRA","UNEMP","TOT","PC_LF","Q","2006-Q3",8.496291,
"FRA","UNEMP","TOT","PC_LF","Q","2006-Q4",8.067687,
"FRA","UNEMP","TOT","PC_LF","Q","2007-Q1",8.093559,
"FRA","UNEMP","TOT","PC_LF","Q","2007-Q2",7.748598,
"FRA","UNEMP","TOT","PC_LF","Q","2007-Q3",7.610561,
"FRA","UNEMP","TOT","PC_LF","Q","2007-Q4",7.17619,
"FRA","UNEMP","TOT","PC_LF","Q","2008-Q1",6.839452,
"FRA","UNEMP","TOT","PC_LF","Q","2008-Q2",6.92688,
"FRA","UNEMP","TOT","PC_LF","Q","2008-Q3",7.042425,
"FRA","UNEMP","TOT","PC_LF","Q","2008-Q4",7.432623,
"FRA","UNEMP","TOT","PC_LF","Q","2009-Q1",8.210099,
"FRA","UNEMP","TOT","PC_LF","Q","2009-Q2",8.785833,
"FRA","UNEMP","TOT","PC_LF","Q","2009-Q3",8.772732,
"FRA","UNEMP","TOT","PC_LF","Q","2009-Q4",9.186929,
"FRA","UNEMP","TOT","PC_LF","Q","2010-Q1",8.988729,
"FRA","UNEMP","TOT","PC_LF","Q","2010-Q2",8.860268,
"FRA","UNEMP","TOT","PC_LF","Q","2010-Q3",8.780414,
"FRA","UNEMP","TOT","PC_LF","Q","2010-Q4",8.844428,
"FRA","UNEMP","TOT","PC_LF","Q","2011-Q1",8.776013,
"FRA","UNEMP","TOT","PC_LF","Q","2011-Q2",8.666282,
"FRA","UNEMP","TOT","PC_LF","Q","2011-Q3",8.760878,
"FRA","UNEMP","TOT","PC_LF","Q","2011-Q4",9.03441,
"FRA","UNEMP","TOT","PC_LF","Q","2012-Q1",9.136496,
"FRA","UNEMP","TOT","PC_LF","Q","2012-Q2",9.302104,
"FRA","UNEMP","TOT","PC_LF","Q","2012-Q3",9.338858,
"FRA","UNEMP","TOT","PC_LF","Q","2012-Q4",9.77972,
"FRA","UNEMP","TOT","PC_LF","Q","2013-Q1",9.942786,
"FRA","UNEMP","TOT","PC_LF","Q","2013-Q2",9.968407,
"FRA","UNEMP","TOT","PC_LF","Q","2013-Q3",9.866629,
"FRA","UNEMP","TOT","PC_LF","Q","2013-Q4",9.771074,"B"
"FRA","UNEMP","TOT","PC_LF","Q","2014-Q1",10.1291,
"FRA","UNEMP","TOT","PC_LF","Q","2014-Q2",10.14209,
"FRA","UNEMP","TOT","PC_LF","Q","2014-Q3",10.38873,
"FRA","UNEMP","TOT","PC_LF","Q","2014-Q4",10.50376,
"FRA","UNEMP","TOT","PC_LF","Q","2015-Q1",10.31548,
"FRA","UNEMP","TOT","PC_LF","Q","2015-Q2",10.3477,
"FRA","UNEMP","TOT","PC_LF","Q","2015-Q3",10.48365,
"FRA","UNEMP","TOT","PC_LF","Q","2015-Q4",10.27675,
"DEU","UNEMP","TOT","PC_LF","Q","1991-Q1",5.206123,
"DEU","UNEMP","TOT","PC_LF","Q","1991-Q2",5.446319,
"DEU","UNEMP","TOT","PC_LF","Q","1991-Q3",6.037065,
"DEU","UNEMP","TOT","PC_LF","Q","1991-Q4",6.211713,
"DEU","UNEMP","TOT","PC_LF","Q","1992-Q1",6.464744,
"DEU","UNEMP","TOT","PC_LF","Q","1992-Q2",6.638513,
"DEU","UNEMP","TOT","PC_LF","Q","1992-Q3",6.88273,
"DEU","UNEMP","TOT","PC_LF","Q","1992-Q4",7.22458,
"DEU","UNEMP","TOT","PC_LF","Q","1993-Q1",7.461617,
"DEU","UNEMP","TOT","PC_LF","Q","1993-Q2",7.886244,
"DEU","UNEMP","TOT","PC_LF","Q","1993-Q3",8.299462,
"DEU","UNEMP","TOT","PC_LF","Q","1993-Q4",8.679412,
"DEU","UNEMP","TOT","PC_LF","Q","1994-Q1",8.683371,
"DEU","UNEMP","TOT","PC_LF","Q","1994-Q2",8.76394,
"DEU","UNEMP","TOT","PC_LF","Q","1994-Q3",8.587413,
"DEU","UNEMP","TOT","PC_LF","Q","1994-Q4",8.345592,
"DEU","UNEMP","TOT","PC_LF","Q","1995-Q1",8.214846,
"DEU","UNEMP","TOT","PC_LF","Q","1995-Q2",8.244801,
"DEU","UNEMP","TOT","PC_LF","Q","1995-Q3",8.337502,
"DEU","UNEMP","TOT","PC_LF","Q","1995-Q4",8.519415,
